step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
143,46207,143,1.1994415611789737,0.0,0.7647058823529411
144,46376,144,1.4878115237096234,0.0,0.5454545454545454
145,46641,145,1.875838411374627,0.0,0.5102040816326531
146,46738,146,1.7085551052233374,0.0,0.5882352941176471
147,47275,147,1.8173533860910362,0.0,0.571157495256167
148,47324,148,1.4943967720377258,0.0,0.5789473684210527
149,47637,149,2.3341521255146636,0.0,0.4798657718120805
150,47990,150,1.8387333666024692,0.0,0.5370919881305638
151,48871,151,2.187512682268791,0.0,0.5257731958762887
152,48904,152,1.5332529720576713,0.0,0.5769230769230769
153,49593,153,2.028675028776566,0.0,0.5196374622356495
154,50162,154,2.242750726164998,0.0,0.4701627486437613
155,50403,155,1.5956648123284054,0.0,0.5739130434782609
156,52188,156,2.2889263022399087,0.0,0.47872943845717525
157,52405,157,1.4566630045516755,0.0,0.6097560975609756
158,52470,158,0.7451977557287319,0.0,0.813953488372093
159,52511,159,1.2656089536901565,0.0,0.44
160,53000,160,2.0861301455753223,0.0,0.4957805907172996
161,53233,161,1.8347433651012297,0.0,0.5720720720720721
162,53794,162,2.019075022724631,0.0,0.5196998123827392
163,53851,163,1.658671988584101,0.0,0.5121951219512195
164,54508,164,2.2130828239029987,0.0,0.48286604361370716
165,55141,165,2.40818088767144,0.0,0.4911147011308562
166,55742,166,2.072429510791422,0.0,0.547945205479452
167,55815,167,1.4137582939423412,0.0,0.6166666666666667
168,56040,168,1.9795819625170872,0.0,0.4858490566037736
169,57033,169,2.278253089636085,0.0,0.5240040858018387
170,57562,170,1.902221120348909,0.0,0.5339805825242718
171,57603,171,1.650523156017065,0.0,0.42857142857142855
172,57868,172,1.7950764351051345,0.0,0.562753036437247
173,58301,173,2.245575801271413,0.0,0.44362745098039214
174,58846,174,2.1552488373896526,0.0,0.5152091254752852
175,59047,175,1.6405421306950485,0.0,0.5934065934065934
176,59672,176,2.428698558918367,0.0,0.4918300653594771
177,59705,177,0.8464433603774524,0.0,0.7
178,60186,178,2.301039464439328,0.0,0.47639484978540775
179,60859,179,2.1900353099224636,0.0,0.46319018404907975
180,60916,180,1.0304728400081928,0.0,0.625
181,61157,181,1.890616402113649,0.0,0.5162790697674419
182,61494,182,1.729488983797486,0.0,0.6141975308641975
183,61815,183,1.9509010097266328,0.0,0.5342465753424658
184,62120,184,2.0404927409600884,0.0,0.5640138408304498
185,62297,185,1.479083571593219,0.0,0.5723270440251572
186,62562,186,2.1962160400051807,0.0,0.4939271255060729
187,62979,187,2.028958689252557,0.0,0.518796992481203
188,63100,188,1.927217693119853,0.0,0.5188679245283019
189,63357,189,2.7607052923286317,0.0,0.45714285714285713
190,63806,190,1.8971989849935897,0.0,0.5517241379310345
191,65127,191,2.193951971684014,0.0,0.4938837920489297
192,65392,192,1.8886910824517538,0.0,0.49166666666666664
193,65945,193,2.190347427761652,0.0,0.5009242144177449
194,66986,194,2.2697916004491425,0.0,0.48090107737512244
195,67083,195,2.0519490662333553,0.0,0.4578313253012048
196,67172,196,1.2895618318878537,0.0,0.5633802816901409
197,67661,197,1.944072175249787,0.0,0.5179704016913319
198,68014,198,1.6247711645868923,0.0,0.6053412462908012
199,68431,199,1.8313368041910676,0.0,0.5338345864661654
200,68504,200,1.0313437434184984,0.0,0.7
201,69137,201,2.185838814079276,0.0,0.5201938610662359
202,70018,202,1.9548193693704055,0.0,0.5521191294387171
203,70587,203,1.879358368532492,0.0,0.5434782608695652
204,70764,204,1.2073264802596533,0.0,0.6540880503144654
205,71005,205,1.3888985556345843,0.0,0.6173913043478261
206,72046,206,2.1653693261227924,0.0,0.5053868756121449
207,72079,207,0.9528281062096358,0.0,0.8461538461538461
208,72136,208,1.1851805424104842,0.0,0.6341463414634146
209,72585,209,1.722877766980035,0.0,0.5816091954022988
210,72850,210,1.5437310294557807,0.0,0.5918367346938775
211,72939,211,1.558119363505208,0.0,0.5844155844155844
212,72996,212,0.33431517938002275,0.0,0.9428571428571428
213,73261,213,1.6929788777791361,0.0,0.5725806451612904
214,73806,214,1.9363371409260792,0.0,0.5570342205323194
215,74215,215,2.217739569514381,0.0,0.4708860759493671
216,74416,216,1.6173227428942556,0.0,0.580110497237569
